"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
house_number,persnet_survey,,text,"How many people are in your household?",,,integer,0,,,,,,,,,
name1,persnet_survey,"<u><font size=3>Who is in your Personal Network?</u></font>

<span style=""font-weight:normal;"">In order to understand your personal network and the different ways in which people are important to you and support you, we are now going to help you create a master list of people by asking you who falls into these three categories:

<div style = ""padding-left:15em""><li>Who do you discuss important personal matters with?</li><li>Who do you often socialize with?</li><li>Who provides you support for your health needs?</li></div>
We are <b>only</b> interested in people who fall into one of those three categories, and we'd like you to think only about your <b>current</b> <u>network of people in your life who are age 18 or older</u>.

Please only use first names, nicknames, or initials - DO NOT USE FULL NAMES. If two people have the same first name, then add a last initial. You can enter any identifier you'd like in place of a name - all that matters is that you know the person you mean, as the ""names"" you enter will be used later in the survey. Even though they might not be full or real names, this information will be kept strictly confidential between you and the Harvard Football Players Health Study.
</span>

<center><font size = 3><b>- - - - - - - - - - - -</b></font></center>

From time to time, most people discuss important personal matters with other people. Who do you typically do that with?

<span style = ""font-weight:lighter"">Please do not list full names.</span>",text,"Name 1",,,,,,,,,,,,,
name2,persnet_survey,,text,"Name 2",,,,,,,,,,,,,
name3,persnet_survey,,text,"Name 3",,,,,,,,,,,,,
name4,persnet_survey,,text,"Name 4",,,,,,,,,,,,,
name5,persnet_survey,,text,"Name 5",,,,,,,,,,,,,
more_names_1,persnet_survey,,notes,"More names, separated by commas (if needed):",,,,,,,,,,,,,
name6,persnet_survey,"Who do you often socialize with? For example, these are people with whom you go out to dinner, go on a trip, or hang out.

<span style=""font-weight:normal;"">Please do not list full names, and don't worry about duplicates from the previous section.</span>",text,"Name 1",,,,,,,,,,,,,
name7,persnet_survey,,text,"Name 2",,,,,,,,,,,,,
name8,persnet_survey,,text,"Name 3",,,,,,,,,,,,,
name9,persnet_survey,,text,"Name 4",,,,,,,,,,,,,
name10,persnet_survey,,text,"Name 5",,,,,,,,,,,,,
more_names_2,persnet_survey,,notes,"More names, separated by commas (if needed):",,,,,,,,,,,,,
name11,persnet_survey,"Think about people who encourage you to stay healthy by giving you motivation, advice, or direct help.  Who provides this kind of support for your health?

<span style=""font-weight:normal;"">Please do not list full names, and don't worry about duplicates from the previous section.</span>",text,"Name 1",,,,,,,,,,,,,
name12,persnet_survey,,text,"Name 2",,,,,,,,,,,,,
name13,persnet_survey,,text,"Name 3",,,,,,,,,,,,,
name14,persnet_survey,,text,"Name 4",,,,,,,,,,,,,
name15,persnet_survey,,text,"Name 5",,,,,,,,,,,,,
more_names_3,persnet_survey,,notes,"More names, separated by commas (if needed):",,,,,,,,,,,,,
name_1,persnet_survey,"<u><font size=3>Finalizing your list of people:</u></font>

<span style = ""font-weight:lighter""><b>Now, we are going to create a master list from the names you provided above</b>. Know that we are only going to use the first 5 names you entered from each section above.

<font color = ""red""><b>Please read these instructions carefully:</b></font><ul><li>For every individual person listed, <u>click the ""Keep"" button next to the first time their name appears in the list</u>. 
If a person is listed more than once, only choose ""Keep"" once.</li><li>Make sure you click ""Keep"" for each unique identity.  If you do not click ""Keep,"" then the name will be removed.</li><li>All blanks and duplicates should be left as ""Remove"".</li></ul></span>",radio,[name1],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_2,persnet_survey,,radio,[name2],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_3,persnet_survey,,radio,[name3],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_4,persnet_survey,,radio,[name4],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_5,persnet_survey,,radio,[name5],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_6,persnet_survey,,radio,[name6],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_7,persnet_survey,,radio,[name7],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_8,persnet_survey,,radio,[name8],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_9,persnet_survey,,radio,[name9],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_10,persnet_survey,,radio,[name10],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_11,persnet_survey,,radio,[name11],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_12,persnet_survey,,radio,[name12],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_13,persnet_survey,,radio,[name13],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_14,persnet_survey,,radio,[name14],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
name_15,persnet_survey,,radio,[name15],"1, Keep | 0, Remove",,,,,,,y,,,unique,,"@DEFAULT=""0"""
first,persnet_survey,,calc,"Number Filled in First 10 Slots","sum([name_1],[name_2],[name_3],[name_4],[name_5],[name_6],[name_7],[name_8],[name_9],[name_10])","This is just for us to keep track.",,,,,,,,,,,@HIDDEN-SURVEY
size,persnet_survey,,calc,"Total number of social contacts","sum([name_1],[name_2],[name_3],[name_4],[name_5],[name_6],[name_7],[name_8],[name_9],[name_10],[name_11],[name_12],[name_13],[name_14],[name_15])","Total number of names you kept.",,,,,,,,,,,@HIDDEN-SURVEY
tie1,persnet_survey,"<u><font size=3>Relationship Description</u></font>

<span style=""font-weight:lighter"">We are now going to focus on the relationships in your personal network. If you notice some names missing, that is okay - we are only using the first 10 from your master list.

Below should be a list of unique names without blanks. <b><font color = ""red"">If there are missing names from the first 10, duplicate names, or blanks, please STOP and go back to the previous section where you made your master list by choosing ""Keep"" for certain names.</font></b> Please review the instructions for that section, and adjust your ""Keep"" or ""Remove"" choices as needed.
</span>

We are interested in how close you feel to each person below. Compared to everyone you've listed, how close do you feel to each person?",radio,"How close do you feel to <font color = ""red"">[name1]</font>?","2, especially close | 1, not especially close",,,,,,"[name_1] = ""1""",y,,,,,
tie2,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name2]</font>?","2, especially close | 1, not especially close",,,,,,"[name_2] = ""1""",y,,,,,
tie3,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name3]</font>?","2, especially close | 1, not especially close",,,,,,"[name_3] = ""1""",y,,,,,
tie4,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name4]</font>?","2, especially close | 1, not especially close",,,,,,"[name_4] = ""1""",y,,,,,
tie5,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name5]</font>?","2, especially close | 1, not especially close",,,,,,"[name_5] = ""1""",y,,,,,
tie6,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name6]</font>?","2, especially close | 1, not especially close",,,,,,"[name_6] = ""1""",y,,,,,
tie7,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name7]</font>?","2, especially close | 1, not especially close",,,,,,"[name_7] = ""1""",y,,,,,
tie8,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name8]</font>?","2, especially close | 1, not especially close",,,,,,"[name_8] = ""1""",y,,,,,
tie9,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name9]</font>?","2, especially close | 1, not especially close",,,,,,"[name_9] = ""1""",y,,,,,
tie10,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name10]</font>?","2, especially close | 1, not especially close",,,,,,"[name_10] = ""1""",y,,,,,
tie11,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name11]</font>?","2, especially close | 1, not especially close",,,,,,"[first] < 10 and [name_11] = ""1""",y,,,,,
tie12,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name12]</font>?","2, especially close | 1, not especially close",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",y,,,,,
tie13,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name13]</font>?","2, especially close | 1, not especially close",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",y,,,,,
tie14,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name14]</font>?","2, especially close | 1, not especially close",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",y,,,,,
tie15,persnet_survey,,radio,"How close do you feel to <font color = ""red"">[name15]</font>?","2, especially close | 1, not especially close",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",y,,,,,
prog_marker1,persnet_survey,,descriptive,"<div style = ""padding-left:2em""><font color = ""green""; size = 3>You've just finished the most important part of the survey&#8212 you're 25% done!</font></div>",,,,,,,"[tie1] <>"""" OR
[tie2] <>"""" OR
[tie3] <>"""" OR
[tie4] <>"""" OR
[tie5] <>"""" OR
[tie6] <>"""" OR
[tie7] <>"""" OR
[tie8] <>"""" OR
[tie9] <>"""" OR
[tie10] <>"""" OR
[tie11] <>"""" OR
[tie12] <>"""" OR
[tie13] <>"""" OR
[tie14] <>"""" OR
[tie15] <>""""",,,,,,
a_tie1,persnet_survey,"<span style=""font-weight:lighter"">We will now focus on the relationship between each pair of people you mentioned. For example, we will ask about <font color = ""red""><b>[name1]</b></font> and <font color = ""red""><b>[name2]</b></font>. For each pair, we will ask whether they are total strangers, in-between, or especially close. Here is what we mean by each term:

<b><i>Total strangers:</i></b> The two people wouldn't recognize one another if they met on the street.

<b><i>In-between:</i></b> Relationships in the middle of total strangers and especially close. Typically, these people are casual acquaintances.

<b><i>Especially close: </i></b>As close or closer to each other than they are to you.

<font color = ""red""><b>Take your time. This can be difficult.</font></b>",radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name2]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_2] = ""1""",y,,,,,
a_tie2,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name3]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_3] = ""1""",y,,,,,
a_tie3,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name4]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_4] = ""1""",y,,,,,
a_tie4,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie5,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie6,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie7,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie8,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie9,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie10,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie11,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie12,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie13,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie14,persnet_survey,,radio,"Is <font color=red>[name1]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_1] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name1,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_2] = ""1"" AND ([name_3] = 1 OR [name_4] = 1 OR [name_5] = 1 OR [name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie15,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name3]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_3] = ""1""",y,,,,,
a_tie16,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name4]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_4] = ""1""",y,,,,,
a_tie17,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie18,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie19,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie20,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie21,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie22,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie23,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie24,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie25,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie26,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie27,persnet_survey,,radio,"Is <font color=red>[name2]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_2] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name2,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_3] = 1 AND ([name_4] = 1 OR [name_5] = 1 OR [name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie28,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name4]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_4] = ""1""",y,,,,,
a_tie29,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie30,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie31,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie32,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie33,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie34,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie35,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie36,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie37,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie38,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie39,persnet_survey,,radio,"Is <font color=red>[name3]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_3] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name3,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_4] = 1 AND ([name_5] = 1 OR [name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie40,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name5]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_5] = ""1""",y,,,,,
a_tie41,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_6] = ""1""",y,,,,,
a_tie42,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name7]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_7] = ""1""",y,,,,,
a_tie43,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name8]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_8] = ""1""",y,,,,,
a_tie44,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name9]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_9] = ""1""",y,,,,,
a_tie45,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name10]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND [name_10] = ""1""",y,,,,,
a_tie46,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name11]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND ([first] < 10 and [name_11] = ""1"")",y,,,,,
a_tie47,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name12]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11])<10 and [name_12]=""1"")",y,,,,,
a_tie48,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name13]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11],[name_12])<10 and [name_13]=""1"")",y,,,,,
a_tie49,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name14]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1"")",y,,,,,
a_tie50,persnet_survey,,radio,"Is <font color=red>[name4]</font color> a total stranger, especially close, or in-between with <font color=red>[name15]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_4] = ""1"" AND (sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1"")",y,,,,,
break_name4,persnet_survey,,descriptive,"<div style = ""padding-left:21em""><font size = 3><b>- - - - - - - - - - - -</b></font>",,,,,,,"[name_5] = 1 AND ([name_6] = 1 OR [name_7] = 1 OR [name_8] = 1 OR [name_9] = 1 OR [name_10] = 1 OR [name_11] = 1 OR [name_12] = 1 OR [name_13] = 1 OR [name_14] = 1 OR [name_15] = 1)",,,,,,
a_tie51,persnet_survey,,radio,"Is <font color=red>[name5]</font color> a total stranger, especially close, or in-between with <font color=red>[name6]</font color>?","0, stranger | 1, in-between | 2, especially close",,,,,,"[name_5] = ""1"" AND [name_6] = ""1""",y,,,,,
