Field,Type,Question Number,Key,Description
nqcog11,integer,Q56,"5=Never, 4=Rarely (once), 3=Sometimes (2-3 times), 2=Often (about once a day), 1=Very Often (Several times a day)","In the past 7 days, I had trouble planning out steps of a task."
primary_care_provider,integer,Q57,"1 = Yes, 0 = No",Q57 Do you have a doctor (primary care provider) that you see at least once every 3 years:
other_health_professional,integer,Q58,"1 = Yes, 0 = No","Q58 Do you have a physical therapist, chiropracter, or health professional you have seen in the past 3 years:"
surgery_knee,integer,Q65,"1 = Yes, 0 = No",Q65.1 Since leaving active professional play have you had any of the following surgical procedures? Knee Joint Replacement:
surgery_knee_years,text,Q65,Write in response,Q65.1 Since leaving active professional play have you had any of the following surgical procedures? Knee Joint Replacement:
surgery_hip,integer,Q65,"1 = Yes, 0 = No",Q65.2 Since leaving active professional play have you had any of the following surgical procedures? Hip Joint Replacement:
surgery_hip_years,text,Q65,Write in response,Q65.2 Since leaving active professional play have you had any of the following surgical procedures? Hip Joint Replacement:
surgery_cardiac,integer,Q65,"1 = Yes, 0 = No","Q65.3 Since leaving active professional play have you had any of the following surgical procedures? Heart Bypass, Angioplasty or Stent Placement:"
surgery_cardiac_years,text,Q65,Write in response,"Q65.3 Since leaving active professional play have you had any of the following surgical procedures? Heart Bypass, Angioplasty or Stent Placement:"
surgery_cataract,integer,Q65,"1 = Yes, 0 = No",Q65.4 Since leaving active professional play have you had any of the following surgical procedures? Cataract Surgery:
surgery_cataract_years,text,Q65,Write in response,Q65.4 Since leaving active professional play have you had any of the following surgical procedures? Cataract Surgery:
surgery_neckspine,integer,Q65,"1 = Yes, 0 = No",Q65.5 Since leaving active professional play have you had any of the following surgical procedures? Neck/Spine Surgery:
surgery_neckspine_years,text,Q65,Write in response,Q65.5 Since leaving active professional play have you had any of the following surgical procedures? Neck/Spine Surgery:
surgery_back,integer,Q65,"1 = Yes, 0 = No",Q65.6 Since leaving active professional play have you had any of the following surgical procedures? Back (Lumbar) Surgery:
surgery_back_years,text,Q65,Write in response,Q65.6 Since leaving active professional play have you had any of the following surgical procedures? Back (Lumbar) Surgery:
surgery_other,integer,Q65,"1 = Yes, 0 = No",Q65.7 Since leaving active professional play have you had any of the following surgical procedures? Other (Please list Surgery):
surgery_other_type,text,Q65,Write in response,"Q65.7 Since leaving active professional play have you had any of the following surgical procedures? Other (Please list Surgery): Text input of surgery type"""
operator65,integer,Q65,"1 = Yes, 0 = No","Unknown"""
surgery_other_years,text,Q65,Write in response,Q65.7 Since leaving active professional play have you had any of the following surgical procedures? Other (Years):
health_heartattack,integer,Q67,"1 = Yes, 0 = No",Q67.1 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Heart Attack:
health_heartattack_years,text,Q67,Write in response,Q67.1 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Heart Attack:
health_stroke,integer,Q67,"1 = Yes, 0 = No",Q67.2 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Stroke:
health_stroke_years,text,Q67,Write in response,Q67.2 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Stroke:
health_sleepapnea,integer,Q67,"1 = Yes, 0 = No",Q67.3 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Sleep Apnea:
health_sleepapnea_years,text,Q67,Write in response,Q67.3 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Sleep Apnea:
health_dementia,integer,Q67,"1 = Yes, 0 = No",Q67.4 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Dementia (Alzeimer's Disease):
health_dementia_years,text,Q67,Write in response,Q67.4 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Dementia (Alzeimer's Disease):
health_cte,integer,Q67,"1 = Yes, 0 = No",Q67.5 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Chronic Traumatic Encephalopathy (CTE):
health_cte_years,text,Q67,Write in response,Q67.5 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Chronic Traumatic Encephalopathy (CTE):
health_parkinsons,integer,Q67,"1 = Yes, 0 = No",Q67.6 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Parkinson's Disease:
health_parkinsons_years,text,Q67,Write in response,Q67.6 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Parkinson's Disease:
health_arthritis,integer,Q67,"1 = Yes, 0 = No",Q67.7 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Arthritis:
health_arthritis_years,text,Q67,Write in response,Q67.7 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Arthritis:
health_als,integer,Q67,"1 = Yes, 0 = No",Q67.8 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Amyotrphic Lateral Sclerosis (ALS: Lou Gehrig's Disease):
health_als_years,text,Q67,Write in response,Q67.8 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Amyotrphic Lateral Sclerosis (ALS: Lou Gehrig's Disease):
health_kidney,integer,Q67,"1 = Yes, 0 = No",Q67.9 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Renal (Kidney) Disease:
health_kidney_years,text,Q67,Write in response,Q67.9 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Renal (Kidney) Disease:
health_cancer,integer,Q67,"1 = Yes, 0 = No",Q67.10 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Cancer:
health_cancer_type,text,Q67,Write in response,Q67.10 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Cancer (Type):
operator67,integer,Q67,"1 = Yes, 0 = No","Q67.10 unknown"""
health_cancer_years,text,Q67,Write in response,Q67.10 Has a health care provider ever told you that you have had any of the following diagnoses or health outcomes? Cancer:
player_position1,text,Q13,"Possible Values: Offensive Line, Defensive Line, Linebacker, Defensive Back, Running Back, Wide Receiver, Tight End, Quarterback, Kicker/Punter, Special Teams","Processed Question Answer, determined from Q13 values. 1st possible answer"
player_position2,text,Q13,"Possible Values: Offensive Line, Defensive Line, Linebacker, Defensive Back, Running Back, Wide Receiver, Tight End, Quarterback, Kicker/Punter, Special Teams","Processed Question Answer, determined from Q13 values. 2nd possible answer"
surgery1,text,Q65,"Possible Values: Knee Joint Replacement, Hip Joint Replacement, Cardiac, Cataract, Neck/Spine, Back, Other","Processed Question Answer, determined from Q65 values. 1st possible answer"
surgery2,text,Q65,"Possible Values: Knee Joint Replacement, Hip Joint Replacement, Cardiac, Cataract, Neck/Spine, Back, Other","Processed Question Answer, determined from Q65 values. 2nd possible answer"
surgery3,text,Q65,"Possible Values: Knee Joint Replacement, Hip Joint Replacement, Cardiac, Cataract, Neck/Spine, Back, Other","Processed Question Answer, determined from Q65 values. 3rd possible answer"
disease1,text,Q67,"Possible Values: Heart attack, Stroke, Sleep Apnea, Dementia, CTE, Parkinsons, Arthritis, ALS, Kidney Disease, Cancer","Processed Question Answer, determined from Q67 values. 1st possible answer"
disease2,text,Q67,"Possible Values: Heart attack, Stroke, Sleep Apnea, Dementia, CTE, Parkinsons, Arthritis, ALS, Kidney Disease, Cancer","Processed Question Answer, determined from Q67 values. 2nd possible answer"
disease3,text,Q67,"Possible Values: Heart attack, Stroke, Sleep Apnea, Dementia, CTE, Parkinsons, Arthritis, ALS, Kidney Disease, Cancer","Processed Question Answer, determined from Q67 values. 3rd possible answer"
